metraj,Sale Sakht,otagh,location,price,floor
۱۲۰,۱۴۰۱,۲,لحظاتی پیش در تهران، ولنجک,۱۱۱٬۱۱۱٬۱۱۱٬۱۱۱ تومان,۶ از ۶
۱۱۹,۱۴۰۱,۳,لحظاتی پیش در تهران، چیتگر، میدان آزادی,۱٬۶۵۴٬۰۰۰٬۰۰۰ تومان,۱۴ از ۲۷
۱۰۸,۱۳۸۷,۳,لحظاتی پیش در تهران، شهرک مسلمین,۴٬۶۴۴٬۰۰۰٬۰۰۰ تومان,۳
۶۸,۱۴۰۱,۱,دقایقی پیش در تهران، مبارک‌آباد بهشتی,۱٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۲
۵۰,۱۳۸۴,۱,دقایقی پیش در تهران، بریانک,۳٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۲
۶۲,۱۴۰۰,۲,دقایقی پیش در تهران، مبارک‌آباد بهشتی,۱٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۴
۱۳۰,۱۳۹۸,۳,"لحظاتی پیش در تهران، هروی,خونه معامله نکن تا کارشناسیش نکردی",۱۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۷
۷۳,۱۳۸۴,۲,دقایقی پیش در تهران، گیشا (کوی نصر),۷٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۱
۸۱,۱۳۸۵,۲,دقایقی پیش در تهران، سعادت‌آباد,۹٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۳ از ۵
۹۰,۱۳۹۱,۲,دقایقی پیش در تهران، جنت‌آباد جنوبی، میدان چهار باغ,۸٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۳
۸۰,۱۴۰۱,۲,نیم ساعت پیش در تهران، استاد معین,۶٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۴
۱۵۰,۱۴۰۰,۳,یک ربع پیش در تهران، امانیه,۲۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱ از ۵
۱۱۵,۱۳۹۹,۲,دقایقی پیش در تهران، یوسف‌آباد,۱۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱ از ۵
۶۳,۱۴۰۰,۱,یک ربع پیش در تهران، مبارک‌آباد بهشتی,۱٬۹۲۶٬۰۰۰٬۰۰۰ تومان,۳ از ۵
۱۰۳,۱۳۹۵,۲,یک ربع پیش در تهران، شهرک راه‌آهن,۷٬۶۲۰٬۰۰۰٬۰۰۰ تومان,۱
۱۵۷,۱۳۸۷,۳,دقایقی پیش در تهران، سعادت‌آباد,۲۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲ از ۵
